"source","target","weight","type","label"
"accounts account","device devices",0.0184,"undirected",0.0184
"accounts account","loan",0.1515,"undirected",0.1515
"accounts account","transunion",0.186,"undirected",0.186
"accounts account","ebay",0.0855,"undirected",0.0855
"accounts account","website",0.1141,"undirected",0.1141
"accounts account","email",0.0473,"undirected",0.0473
"accounts account","address addresses",0.1588,"undirected",0.1588
"accounts account","number",0.0125,"undirected",0.0125
"accounts account","postal",0.2757,"undirected",0.2757
"accounts account","employee employees",0.0313,"undirected",0.0313
"accounts account","network",0.0581,"undirected",0.0581
"accounts account","android",0.0526,"undirected",0.0526
"accounts account","institution",0.0767,"undirected",0.0767
"accounts account","profile",0.0304,"undirected",0.0304
"accounts account","equifax",0.186,"undirected",0.186
"accounts account","banking bank",0.0978,"undirected",0.0978
"accounts account","bill",0.0138,"undirected",0.0138
"accounts account","photo",0.0637,"undirected",0.0637
"accounts account","twitter",0.1249,"undirected",0.1249
"accounts account","assistance",0.0185,"undirected",0.0185
"accounts account","bureau",0.1393,"undirected",0.1393
"accounts account","linkedin",0.0221,"undirected",0.0221
"accounts account","transactions",0.5513,"undirected",0.5513
"accounts account","phone",0.1061,"undirected",0.1061
"accounts account","computers",0.0088,"undirected",0.0088
"accounts account","internet",0.0033,"undirected",0.0033
"accounts account","attorney",0.264,"undirected",0.264
"accounts account","passwords password",0.1497,"undirected",0.1497
"address addresses","number",0.1905,"undirected",0.1905
"address addresses","refund",0.1788,"undirected",0.1788
"address addresses","postal",0.1903,"undirected",0.1903
"address addresses","facility",0.0533,"undirected",0.0533
"address addresses","service",0.0002,"undirected",0.0002
"address addresses","android",0.0758,"undirected",0.0758
"address addresses","institution",0.1985,"undirected",0.1985
"address addresses","profile",0.1116,"undirected",0.1116
"address addresses","banking bank",0.0716,"undirected",0.0716
"address addresses","bill",0.0694,"undirected",0.0694
"address addresses","photo",0.5296,"undirected",0.5296
"address addresses","twitter",0.0713,"undirected",0.0713
"address addresses","transactions",0.1699,"undirected",0.1699
"address addresses","phone",0.1278,"undirected",0.1278
"address addresses","computers",0.1949,"undirected",0.1949
"address addresses","identity",0.1411,"undirected",0.1411
"address addresses","street",0.0077,"undirected",0.0077
"address addresses","attorney",0.0546,"undirected",0.0546
"address addresses","credit",0.0072,"undirected",0.0072
"address addresses","date",0.1123,"undirected",0.1123
"address addresses","vehicle",0.0072,"undirected",0.0072
"address addresses","passwords password",0.141,"undirected",0.141
"administrator","mortgage",0.018,"undirected",0.018
"administrator","bill",0.168,"undirected",0.168
"administrator","photo",0.0026,"undirected",0.0026
"administrator","assistance",0.0127,"undirected",0.0127
"administrator","bureau",0.0186,"undirected",0.0186
"administrator","computers",0.0801,"undirected",0.0801
"administrator","ipad",0.1531,"undirected",0.1531
"administrator","identity",0.0032,"undirected",0.0032
"administrator","attorney",0.0362,"undirected",0.0362
"administrator","date",0.0023,"undirected",0.0023
"adult","parents",0.6222,"undirected",0.6222
"adult","number",0.2284,"undirected",0.2284
"adult","online",0.1618,"undirected",0.1618
"adult","equifax",0.2849,"undirected",0.2849
"adult","banking bank",0.0081,"undirected",0.0081
"adult","bill",0.3666,"undirected",0.3666
"adult","photo",0.0248,"undirected",0.0248
"adult","bureau",0.0732,"undirected",0.0732
"adult","source",0.3752,"undirected",0.3752
"adult","phone",0.0888,"undirected",0.0888
"adult","identity",0.0327,"undirected",0.0327
"adult","date",0.2015,"undirected",0.2015
"adult","student",0.0847,"undirected",0.0847
"agency","federal",0.1514,"undirected",0.1514
"agency","customers customer",0.0605,"undirected",0.0605
"agency","sign",0.1262,"undirected",0.1262
"agency","type",0.0456,"undirected",0.0456
"agency","secure security",0.0121,"undirected",0.0121
"agency","accounts account",0.0692,"undirected",0.0692
"agency","id",0.2237,"undirected",0.2237
"agency","loan",0.0937,"undirected",0.0937
"agency","transunion",0.4717,"undirected",0.4717
"agency","utility utilities",0.6,"undirected",0.6
"agency","rating",0.0289,"undirected",0.0289
"agency","email",0.0527,"undirected",0.0527
"agency","adult",0.1067,"undirected",0.1067
"agency","number",0.0894,"undirected",0.0894
"agency","postal",0.0312,"undirected",0.0312
"agency","employee employees",0.0977,"undirected",0.0977
"agency","network",0.3987,"undirected",0.3987
"agency","service",0.2541,"undirected",0.2541
"agency","profile",0.0158,"undirected",0.0158
"agency","equifax",0.4717,"undirected",0.4717
"agency","bill",0.061,"undirected",0.061
"agency","bureau",0.1139,"undirected",0.1139
"agency","linkedin",0.0651,"undirected",0.0651
"agency","identity",0.0009,"undirected",0.0009
"agency","credit",0.4717,"undirected",0.4717
"agency","date",0.0025,"undirected",0.0025
"american","business",0.0949,"undirected",0.0949
"american","corporation",0.0094,"undirected",0.0094
"american","loan",0.0814,"undirected",0.0814
"american","ebay",0.5261,"undirected",0.5261
"american","number",0.0288,"undirected",0.0288
"american","online",0.5938,"undirected",0.5938
"american","administrator",0.0325,"undirected",0.0325
"american","service",0.0185,"undirected",0.0185
"american","mortgage",0.4018,"undirected",0.4018
"american","photo",0.062,"undirected",0.062
"american","bureau",0.2233,"undirected",0.2233
"american","identity",0.0283,"undirected",0.0283
"american","credit",0.1686,"undirected",0.1686
"american","date",0.2423,"undirected",0.2423
"android","equifax",0.0391,"undirected",0.0391
"android","twitter",0.0259,"undirected",0.0259
"android","source",0.0977,"undirected",0.0977
"android","linkedin",0.2076,"undirected",0.2076
"android","phone",0.5332,"undirected",0.5332
"android","computers",0.5021,"undirected",0.5021
"android","internet",0.5172,"undirected",0.5172
"android","ipad",0.2416,"undirected",0.2416
"android","student",0.0045,"undirected",0.0045
"android","passwords password",0.0129,"undirected",0.0129
"apple","transunion",0.2333,"undirected",0.2333
"apple","social",0.099,"undirected",0.099
"apple","number",0.016,"undirected",0.016
"apple","sales",0.0676,"undirected",0.0676
"apple","administrator",0.1537,"undirected",0.1537
"apple","network",0.0051,"undirected",0.0051
"apple","android",0.298,"undirected",0.298
"apple","equifax",0.2333,"undirected",0.2333
"apple","bill",0.0193,"undirected",0.0193
"apple","linkedin",0.0392,"undirected",0.0392
"apple","phone",0.07,"undirected",0.07
"apple","computers",0.6404,"undirected",0.6404
"apple","internet",0.1096,"undirected",0.1096
"apple","ipad",0.9803,"undirected",0.9803
"application","federal",0.0148,"undirected",0.0148
"application","ssn",0.0164,"undirected",0.0164
"application","customers customer",0.3367,"undirected",0.3367
"application","name",0.3684,"undirected",0.3684
"application","laptop",0.009,"undirected",0.009
"application","license",0.0481,"undirected",0.0481
"application","secure security",0.1479,"undirected",0.1479
"application","purchasing purchase",0.034,"undirected",0.034
"application","accounts account",0.0014,"undirected",0.0014
"application","id",0.0058,"undirected",0.0058
"application","device devices",0.0269,"undirected",0.0269
"application","st",0.0417,"undirected",0.0417
"application","transunion",0.0071,"undirected",0.0071
"application","ebay",0.0312,"undirected",0.0312
"application","term",0.0637,"undirected",0.0637
"application","social",0.1387,"undirected",0.1387
"application","utility utilities",0.0529,"undirected",0.0529
"application","rating",0.0149,"undirected",0.0149
"application","address addresses",0.0505,"undirected",0.0505
"application","employee employees",0.0236,"undirected",0.0236
"application","android",0.0423,"undirected",0.0423
"application","equifax",0.0071,"undirected",0.0071
"application","banking bank",0.2377,"undirected",0.2377
"application","bill",0.2273,"undirected",0.2273
"application","photo",0.3053,"undirected",0.3053
"application","twitter",0.006,"undirected",0.006
"application","bureau",0.0065,"undirected",0.0065
"application","linkedin",0.0212,"undirected",0.0212
"application","phone",0.0482,"undirected",0.0482
"application","computers",0.0039,"undirected",0.0039
"application","street",0.0542,"undirected",0.0542
"application","date",0.0382,"undirected",0.0382
"assistance","identity",0.0028,"undirected",0.0028
"attorney","student",0.0922,"undirected",0.0922
"attorney","vehicle",0.0106,"undirected",0.0106
"banking bank","photo",0.0729,"undirected",0.0729
"banking bank","twitter",0.0414,"undirected",0.0414
"banking bank","transactions",0.1984,"undirected",0.1984
"banking bank","street",0.0292,"undirected",0.0292
"banking bank","credit",0.2595,"undirected",0.2595
"banking bank","passwords password",0.0553,"undirected",0.0553
"bill","assistance",0.1521,"undirected",0.1521
"bill","bureau",0.1955,"undirected",0.1955
"bill","ipad",0.0306,"undirected",0.0306
"bill","identity",0.0066,"undirected",0.0066
"bill","date",0.1363,"undirected",0.1363
"bill","student",0.1972,"undirected",0.1972
"bureau","transactions",0.0603,"undirected",0.0603
"bureau","identity",0.1916,"undirected",0.1916
"bureau","street",0.002,"undirected",0.002
"bureau","attorney",0.0344,"undirected",0.0344
"bureau","credit",0.111,"undirected",0.111
"bureau","date",0.1136,"undirected",0.1136
"bureau","vehicle",0.0245,"undirected",0.0245
"business","accounts account",0.0013,"undirected",0.0013
"business","device devices",0.1038,"undirected",0.1038
"business","ebay",0.0289,"undirected",0.0289
"business","email",0.0861,"undirected",0.0861
"business","adult",0.0356,"undirected",0.0356
"business","number",0.0949,"undirected",0.0949
"business","online",0.1307,"undirected",0.1307
"business","sales",0.0763,"undirected",0.0763
"business","institution",0.0906,"undirected",0.0906
"business","mortgage",0.0238,"undirected",0.0238
"business","banking bank",0.1974,"undirected",0.1974
"business","bill",0.1379,"undirected",0.1379
"business","photo",0.0089,"undirected",0.0089
"business","bureau",0.0515,"undirected",0.0515
"business","linkedin",0.1356,"undirected",0.1356
"business","transactions",0.0397,"undirected",0.0397
"business","date",0.0323,"undirected",0.0323
"card cards","visa",0.0508,"undirected",0.0508
"card cards","driving",0.0063,"undirected",0.0063
"card cards","check",0.032,"undirected",0.032
"card cards","group",0.1412,"undirected",0.1412
"card cards","digits",0.1223,"undirected",0.1223
"card cards","passport",0.2087,"undirected",0.2087
"card cards","application",0.0467,"undirected",0.0467
"card cards","federal",0.0105,"undirected",0.0105
"card cards","ssn",0.2501,"undirected",0.2501
"card cards","customers customer",0.0935,"undirected",0.0935
"card cards","name",0.0168,"undirected",0.0168
"card cards","american",0.0195,"undirected",0.0195
"card cards","business",0.1095,"undirected",0.1095
"card cards","corporation",0.0033,"undirected",0.0033
"card cards","laptop",0.1634,"undirected",0.1634
"card cards","store",0.074,"undirected",0.074
"card cards","license",0.1623,"undirected",0.1623
"card cards","secure security",0.0265,"undirected",0.0265
"card cards","purchasing purchase",0.2549,"undirected",0.2549
"card cards","device devices",0.2328,"undirected",0.2328
"card cards","st",0.3892,"undirected",0.3892
"card cards","transunion",0.0314,"undirected",0.0314
"card cards","term",0.1297,"undirected",0.1297
"card cards","secret",0.157,"undirected",0.157
"card cards","website",0.1159,"undirected",0.1159
"card cards","address addresses",0.2697,"undirected",0.2697
"card cards","number",0.1615,"undirected",0.1615
"card cards","equifax",0.0314,"undirected",0.0314
"card cards","banking bank",0.1441,"undirected",0.1441
"card cards","bill",0.1635,"undirected",0.1635
"card cards","bureau",0.1501,"undirected",0.1501
"card cards","transactions",0.1442,"undirected",0.1442
"card cards","ipad",0.0425,"undirected",0.0425
"card cards","identity",0.0812,"undirected",0.0812
"card cards","street",0.0076,"undirected",0.0076
"card cards","credit",0.1003,"undirected",0.1003
"card cards","date",0.2163,"undirected",0.2163
"card cards","vehicle",0.2848,"undirected",0.2848
"card cards","passwords password",0.0092,"undirected",0.0092
"certification certificate","passport",0.0151,"undirected",0.0151
"certification certificate","score",0.0242,"undirected",0.0242
"certification certificate","facebook",0.1396,"undirected",0.1396
"certification certificate","ssn",0.0061,"undirected",0.0061
"certification certificate","tax",0.0128,"undirected",0.0128
"certification certificate","sign",0.008,"undirected",0.008
"certification certificate","name",0.0071,"undirected",0.0071
